mark_name,model_name,mass_kg,fuel_consumption_lp100km,production_price,frontal_area_m2,co2_emissions_gl,engine_efficiency
FORD,TRANSIT,2404.0,9.1,11855.0,2.8,2637.3626373626375,0.4
RENAULT-NISSAN-MITSUBISHI,NISSAN JUKE,1262.0,5.8,11161.0,3.2,2293.1034482758623,0.25
RENAULT-NISSAN-MITSUBISHI,A110,1184.0,6.9,74990.0,2.6,2275.3623188405795,0.25
MERCEDES-BENZ AG,GLA 180 D,1660.0,5.4,19238.0,3.1,2629.6296296296296,0.4
MERCEDES-BENZ AG,GLE 400 D 4MATIC,2280.0,7.8,42946.0,2.2,2641.025641025641,0.4
VOLKSWAGEN,TARRACO,1682.0,5.6,35112.0,2.7,2625.0,0.4
VOLKSWAGEN,S5 CABRIOLET,1915.0,9.2,49735.0,2.2,2271.739130434783,0.25
FORD,TOURNEO CUSTOM,2529.0,8.6,29712.0,2.8,2627.906976744186,0.4
BMW,430I,1790.0,7.3,31286.0,2.7,2260.27397260274,0.25
VOLKSWAGEN,CUPRA LEON,1494.0,7.2,39654.0,2.7,2263.8888888888887,0.25
STELLANTIS,ASTRA SPORTS TOURER,1421.0,5.8,9574.0,2.7,2258.6206896551726,0.25
KIA,PICANTO,981.0,5.2,9077.0,2.4,2269.230769230769,0.25
VOLKSWAGEN,S3 LIMOUSINE,1580.0,8.0,38718.0,3.2,2275.0,0.25
VOLKSWAGEN,MACAN,1920.0,10.2,62265.0,2.8,2264.7058823529414,0.25
STELLANTIS,MOKKA,1295.0,5.9,20315.0,2.8,2254.237288135593,0.25
BMW,CLUBMAN JOHN COOPER WORKS ALL4,1630.0,7.5,18357.0,2.9,2266.6666666666665,0.25
VOLKSWAGEN,SCALA,1255.0,5.8,20448.0,3.2,2275.862068965517,0.25
BMW,118D,1505.0,4.9,12875.0,2.3,2632.6530612244896,0.4
STELLANTIS,308,1333.0,5.5,8477.0,2.8,2254.5454545454545,0.25
RENAULT-NISSAN-MITSUBISHI,TRAFIC,2320.0,7.5,18410.0,2.2,2613.3333333333335,0.4
VOLKSWAGEN,PANAMERA,1995.0,11.0,94491.0,2.3,2254.5454545454545,0.25
KIA,PROCEED,1438.0,6.8,16813.0,2.8,2264.7058823529414,0.25
BMW,218D ACTIVE TOURER,1620.0,4.9,17798.0,2.9,2612.2448979591836,0.4
STELLANTIS,C3,1165.0,6.0,9584.0,2.8,2266.6666666666665,0.25
MERCEDES-BENZ AG,GLB 180 D,1680.0,5.6,25967.0,2.8,2625.0,0.4
BMW,X5 M50I,2335.0,11.8,55269.0,2.9,2279.6610169491523,0.25
VOLKSWAGEN,RS 3 SPORTBACK,1645.0,9.1,65945.0,2.9,2263.736263736264,0.25
BMW,M550I XDRIVE,1990.0,10.7,47029.0,2.8,2289.7196261682243,0.25
BMW,CLUBMAN COOPER,1435.0,6.1,10999.0,2.4,2278.688524590164,0.25
STELLANTIS,GRANDLAND,1461.0,6.4,23018.0,2.5,2281.25,0.25
MERCEDES-BENZ AG,VITO TOURER,2065.0,7.9,22624.0,3.2,2607.5949367088606,0.4
VOLKSWAGEN,911 TURBO S,1715.0,12.0,108136.0,2.8,2275.0,0.25
BMW,120I,1465.0,6.4,16127.0,2.1,2296.875,0.25
STELLANTIS,C5 AIRCROSS,1567.0,5.6,17283.0,2.5,2625.0,0.4
VOLKSWAGEN,S3 SPORTBACK,1575.0,8.2,38718.0,2.9,2268.2926829268295,0.25
VOLKSWAGEN,CUPRA LEON SP,1624.0,8.3,39654.0,2.4,2265.0602409638554,0.25
SUBARU-SUZUKI-TOYOTA,OUTBACK,1719.0,8.6,17787.0,2.7,2244.186046511628,0.25
STELLANTIS,COMBO LIFE,1600.0,7.0,12729.0,2.6,2257.1428571428573,0.25
BMW,M2 40I XDRIVE,1765.0,8.7,48836.0,2.4,2264.3678160919544,0.25
BMW,X2 M35I XDRIVE,1770.0,8.0,52377.0,2.8,2250.0,0.25
MERCEDES-BENZ AG,GLA 250,1565.0,7.6,24114.0,2.7,2250.0,0.25
STELLANTIS,2008,1280.0,5.9,12275.0,2.6,2254.237288135593,0.25
