mark_name,model_name,mass_kg,price,frontal_area_m2,battery_capacity_kwh,energy_consumption_kwhp100km,motor_efficiency,charging_efficiency
VOLKSWAGEN,Q8 50 E-TRON,2585.0,89275.0,2.6,981.0,2250.0,0.9,0.4444444444444444
STELLANTIS,SPACETOURER,2167.0,25314.0,2.4,844.66,2690.0,0.9,0.37174721189591076
MERCEDES-BENZ AG,EQB 250,2110.0,15935.0,3.2,773.28,1790.0,0.9,0.5586592178770949
FORD,MUSTANG MACH-E,2257.0,43825.0,2.0,1034.0,1880.0,0.9,0.5319148936170213
VOLKSWAGEN,TAYCAN TURBO S,2370.0,124050.0,2.3,1025.92,2240.0,0.9,0.44642857142857145
VOLKSWAGEN,ENYAQ 85,2137.0,48642.0,2.1,842.08,1520.0,0.9,0.6578947368421053
MERCEDES-BENZ AG,EQV,2635.0,83870.0,2.4,995.28,2860.0,0.9,0.34965034965034963
MERCEDES-BENZ AG,EVITO TOURER,2530.0,22624.0,3.0,996.8,2800.0,0.9,0.35714285714285715
BMW,IX M60,2670.0,52953.0,2.6,1241.69,2270.0,0.9,0.44052863436123346
VOLKSWAGEN,Q4 SPORTBACK 35 E-TRON,1970.0,97673.0,2.6,583.2,1620.0,0.9,0.6172839506172839
VOLKSWAGEN,Q8 SPORTBACK 55 E-TRON,2585.0,89275.0,2.6,1189.92,2220.0,0.9,0.45045045045045046
RENAULT-NISSAN-MITSUBISHI,NISSAN LEAF 40 KWH,1580.0,15961.0,2.6,464.26,1670.0,0.9,0.5988023952095808
MERCEDES-BENZ AG,AMG EQE 43 4MATIC,2535.0,18990.0,2.4,1037.4,2100.0,0.9,0.47619047619047616
RENAULT-NISSAN-MITSUBISHI,KANGOO E-TECH ELECTRIC,1870.0,9948.0,2.4,547.96,2060.0,0.9,0.4854368932038835
STELLANTIS,E-C4 X,1659.0,9843.0,2.5,541.62,1530.0,0.9,0.6535947712418301
STELLANTIS,E-BERLINGO,1739.0,10316.0,2.0,553.57,1970.0,0.9,0.5076142131979695
VOLKSWAGEN,Q4 35 E-TRON,1965.0,97673.0,2.3,589.93,1730.0,0.9,0.5780346820809249
STELLANTIS,E-DOBLO,1739.0,8558.0,2.5,551.6,1970.0,0.9,0.5076142131979695
STELLANTIS,500,1435.0,18112.0,2.2,456.28,1870.0,0.9,0.5347593582887701
RENAULT-NISSAN-MITSUBISHI,NISSAN LEAF 62 KWH,1756.0,15961.0,2.3,704.88,1780.0,0.9,0.5617977528089888
STELLANTIS,VIVARO,2131.0,14346.0,2.6,843.72,2670.0,0.9,0.37453183520599254
VOLKSWAGEN,TAYCAN 4,2320.0,124050.0,2.1,1048.11,2170.0,0.9,0.4608294930875576
VOLKSWAGEN,E-TRON GT,2350.0,97673.0,2.9,987.78,2020.0,0.9,0.49504950495049505
VOLKSWAGEN,E-TRON SPORTBACK 55,2595.0,97673.0,2.5,961.35,2550.0,0.9,0.39215686274509803
VOLKSWAGEN,RS E-TRON GT,2420.0,81809.0,2.5,987.0,2100.0,0.9,0.47619047619047616
VOLKSWAGEN,TAYCAN TURBO,2405.0,124050.0,2.9,1030.32,2120.0,0.9,0.4716981132075472
MERCEDES-BENZ AG,AMG EQS 53 4MATIC+,2655.0,18990.0,2.5,1247.12,2380.0,0.9,0.42016806722689076
VOLKSWAGEN,Q4 SPORTBACK 45 E-TRON,2215.0,97673.0,2.5,879.66,1810.0,0.9,0.5524861878453039
VOLKSWAGEN,E-TRON 50,2445.0,97673.0,2.4,739.2,2200.0,0.9,0.45454545454545453
MERCEDES-BENZ AG,AMG EQE 53 4MATIC+,2540.0,18990.0,2.8,1012.42,2270.0,0.9,0.44052863436123346
HYUNDAI MOTOR EUROPE,G80 GENESIS G80,2325.0,27750.0,2.8,993.2,1910.0,0.9,0.5235602094240838
SUBARU-SUZUKI-TOYOTA,PROACE CITY VERSO ELECTRIC,1876.0,17438.0,2.5,557.56,2120.0,0.9,0.4716981132075472
BMW,IX2 XDRIVE 30,2095.0,32215.0,3.2,741.63,1770.0,0.9,0.5649717514124294
VOLKSWAGEN,SQ8 E-TRON,2725.0,91231.0,2.5,1204.14,2820.0,0.9,0.3546099290780142
MERCEDES-BENZ AG,EQE 350+,2355.0,26738.0,2.6,1058.85,1810.0,0.9,0.5524861878453039
STELLANTIS,JUMPY,2131.0,11144.0,3.0,844.66,2690.0,0.9,0.37174721189591076
BMW,I5 M60 XDRIVE,2380.0,52953.0,3.1,939.89,2030.0,0.9,0.49261083743842365
VOLKSWAGEN,ENYAQ 85X,2222.0,48642.0,2.9,859.65,1650.0,0.9,0.6060606060606061
VOLKSWAGEN,E-TRON SPORTBACK 50,2445.0,97673.0,2.5,737.1,2340.0,0.9,0.42735042735042733
VOLKSWAGEN,E-TRON S,2730.0,97673.0,2.9,977.04,2760.0,0.9,0.36231884057971014
VOLKSWAGEN,E-TRON S SPORTBACK,2730.0,97673.0,3.1,978.18,2740.0,0.9,0.36496350364963503
MERCEDES-BENZ AG,EQS 350,2390.0,46209.0,2.6,1055.3,1730.0,0.9,0.5780346820809249
VOLKSWAGEN,Q4 55 E-TRON,2235.0,97673.0,2.9,879.66,1810.0,0.9,0.5524861878453039
VOLKSWAGEN,SQ8 SPORTBACK E-TRON,2725.0,91231.0,2.8,1201.5,2700.0,0.9,0.37037037037037035
MERCEDES-BENZ AG,EQS 500 4MATIC,2615.0,58235.0,2.7,1230.04,1910.0,0.9,0.5235602094240838
VOLKSWAGEN,Q4 SPORTBACK 55 E-TRON,2235.0,97673.0,2.6,878.84,1730.0,0.9,0.5780346820809249
RENAULT-NISSAN-MITSUBISHI,LEAF 62KWH,1756.0,15961.0,2.4,701.32,1780.0,0.9,0.5617977528089888
MERCEDES-BENZ AG,EQ FORFOUR,1200.0,9587.0,2.5,211.25,1690.0,0.9,0.591715976331361
VOLKSWAGEN,UP!,1248.0,7622.0,2.7,371.52,1440.0,0.9,0.6944444444444444
MAZDA,MX-30,1720.0,19985.0,3.2,358.0,1790.0,0.9,0.5586592178770949
FORD,MUSTANG MACH-E GT,2348.0,43825.0,2.4,1038.8,2120.0,0.9,0.4716981132075472
BMW,IX1 XDRIVE30 U11 XE2,2085.0,18271.0,3.0,758.28,1780.0,0.9,0.5617977528089888
