ID,Country,VFN,Mp,Mh,Man,MMS,Tan,T,Va,Ve,Mk,Cn,Ct,Cr,r,m (kg),Mt,Enedc (g/km),Ewltp (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW),z (Wh/km),IT,Ernedc (g/km),Erwltp (g/km),De,Vf,Status,year,Date of registration,Fuel consumption ,ech,RLFI,Electric range (km),mk_norm,cn_norm,price,frontal_area_m2
123233820,ES,IP-YHZ____ATN8214B-VR3-0,STELLANTIS,STELLANTIS AUTO,STELLANTIS AUTO SAS,,E2*2007/46*0628*22,F,B,YHZT-B2Y700,PEUGEOT,NUEVO 308 5P ACTIVE PACK BLUEHDI 130 S&S EAT8,M1,M1,1,1436.0,1515.0,,128.0,,,,diesel,M,1499.0,96.0,,e2 29 37,,1.41,,,F,2023,2023-03-28,4.9,EURO 6AP,,,peugeot,nuevo 308 5p active pack bluehdi 130 s&s eat8,8477.0,2.5
123233838,ES,IP-HNS____MB6_5427-VR3-0,STELLANTIS,STELLANTIS AUTO,STELLANTIS AUTO SAS,,E9*2007/46*6816*18,B,A,HNSA-A1A600,CITROEN,NUEVO C4 PURETECH 130 S&S 6V MAX,M1,M1,1,1322.0,1412.0,,120.0,,,,petrol,M,1199.0,96.0,,e2 29 37,,2.1,,,F,2023,2023-11-23,5.3,EURO 6EA,,,citroen,nuevo c4 puretech 130 s&s 6v max,9843.0,3.1
123233890,ES,IP-ZKX____REDU6760-VR3-0,STELLANTIS,STELLANTIS AUTO,STELLANTIS AUTO SAS,,E2*2007/46*0624*20,E,Z,ZKXZ-A7U000,CITROEN,NUEVO E-BERLINGO ELECTRICO 50 KWH TALLA M LIVE PAC,M1,M1,1,1739.0,1831.0,,0.0,,,,electric,E,,100.0,193.0,,,,,,F,2023,2023-01-30,,EURO AX,,285.0,citroen,nuevo e berlingo electrico 50 kwh talla m live pac,10316.0,2.2
123233904,ES,IP-YHZ____ML6_312A-VF3-0,STELLANTIS,AUTOMOBILES PEUGEOT,AUTOMOBILES PEUGEOT,,E2*2007/46*0534*23,M,C,YHZM-C2P400,PEUGEOT,3008 ALLURE PACK BLUEHDI 130 S&S 6 VEL MAN,M1,M1,1,1504.0,1601.0,,130.0,,,,diesel,M,1499.0,96.0,,e2 28 29,,1.47,,,F,2023,2023-03-28,5.0,EURO 6AP,,,peugeot,3008 allure pack bluehdi 130 s&s 6 vel man,19475.0,2.1
123234016,ES,IP-HNS____ATN83445-VF3-0,STELLANTIS,AUTOMOBILES PEUGEOT,AUTOMOBILES PEUGEOT,,E2*2007/46*0534*23,M,R,HNSU-C1PH00,PEUGEOT,3008 ACTIVE PACK PURETECH 130 S&S EAT8,M1,M1,1,1395.0,1528.0,,145.0,,,,petrol,M,1199.0,96.0,,e2 28 29,,2.1,,,F,2023,2023-01-16,6.4,EURO 6AP,,,peugeot,3008 active pack puretech 130 s&s eat8,19475.0,3.0
123234060,ES,IP-YHT____MB6_611J-VR3-0,STELLANTIS,STELLANTIS AUTO,STELLANTIS AUTO SAS,,E2*2007/46*0624*24,E,C,YHT2-A24310,PEUGEOT,RIFTER ALLURE BLUEHDI 100 S&S 6 VEL MAN STANDARD,M1,M1,1,1505.0,1653.0,,143.0,,,,diesel,M,1499.0,75.0,,e2 29,,0.72,,,F,2023,2023-12-29,5.5,EURO 6AP,,,peugeot,rifter allure bluehdi 100 s&s 6 vel man standard,31765.0,2.5
123234066,ES,IP-YHZ____ATN8214D-VR3-0,STELLANTIS,STELLANTIS AUTO,STELLANTIS AUTO SAS,,E2*2007/46*0628*22,F,B,YHZT-B21800,PEUGEOT,NUEVO 308 5P GT BLUEHDI 130 S&S EAT8,M1,M1,1,1436.0,1580.0,,132.0,,,,diesel,M,1499.0,96.0,,e2 29 37,,1.17,,,F,2023,2023-02-22,5.0,EURO 6AP,,,peugeot,nuevo 308 5p gt bluehdi 130 s&s eat8,8477.0,2.4
123234084,ES,IP-YHS____MB6_5126-VR3-0,STELLANTIS,STELLANTIS AUTO,STELLANTIS AUTO SAS,,E2*2007/46*0639*21,U,D,YHSK-42B500,OPEL,MOKKA BUSINESS ELEGANCE 15 D 110CV MT6 S/S 110 CV,M1,M1,1,1295.0,1395.0,,116.0,,,,diesel,M,1499.0,81.0,,e2 28 29,,1.84,,,F,2023,2023-03-23,4.4,EURO 6AP,,,opel,mokka business elegance 15 d 110cv mt6 s/s 110 cv,15522.0,2.9
123234187,ES,IP-HNS____ATN83445-VR3-0,STELLANTIS,STELLANTIS AUTO,STELLANTIS AUTO SAS,,E2*2007/46*0642*18,A,R,HNSS-C1NH00,CITROEN,C5 AIRCROSS PURETECH 130 S&S EAT8 FEEL PACK (SOLO,M1,M1,1,1505.0,1608.0,,149.0,,,,petrol,M,1199.0,96.0,,e2 29 37,,2.1,,,F,2023,2023-03-29,6.6,EURO 6AP,,,citroen,c5 aircross puretech 130 s&s eat8 feel pack (solo,17283.0,2.4
123234275,ES,IP-YHT____MB6_5124-VR3-0,STELLANTIS,STELLANTIS AUTO,STELLANTIS AUTO SAS,,E2*2007/46*0639*23,U,B,YHTK-X2B300,OPEL,CORSA GS 15D DT MT6 S/S 100 CV (74KW),M1,M1,1,1165.0,1283.0,,110.0,,,,diesel,M,1499.0,75.0,,e2 29 37,,1.51,,,F,2023,2023-03-27,4.2,EURO 6AP,,,opel,corsa gs 15d dt mt6 s/s 100 cv (74kw),8959.0,3.1
123234305,ES,IP-YHS____MB6_112D-VF7-0,STELLANTIS,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,,E4*2007/46*1241*20,2,C,YHSM-R2F400,CITROEN,C3 AIRCROSS BLUEHDI 110 S&S 6V C SERIES (SOLO STOC,M1,M1,1,1310.0,1415.0,,128.0,,,,diesel,M,1499.0,81.0,,e2 29 37,,1.43,,,F,2023,2023-10-25,4.9,EURO 6AP,,,citroen,c3 aircross bluehdi 110 s&s 6v c series (solo stoc,11330.0,2.8
123234370,ES,IP-HNS____MB6E242A-VR3-0,STELLANTIS,STELLANTIS AUTO,STELLANTIS AUTO SAS,,E2*2007/46*0628*22,F,R,HNSL-D11E00,PEUGEOT,NUEVO 308 SW ALLURE PACK PURETECH 130 S&S 6 VEL M,M1,M1,1,1385.0,1499.0,,129.0,,,,petrol,M,1199.0,96.0,,e2 28 29,,1.97,,,F,2023,2023-01-30,5.7,EURO 6AP,,,peugeot,nuevo 308 sw allure pack puretech 130 s&s 6 vel m,8477.0,2.5
