ID,Country,VFN,Mp,Mh,Man,MMS,Tan,T,Va,Ve,Mk,Cn,Ct,Cr,r,m (kg),Mt,Enedc (g/km),Ewltp (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW),z (Wh/km),IT,Ernedc (g/km),Erwltp (g/km),De,Vf,Status,year,Date of registration,Fuel consumption ,ech,RLFI,Electric range (km),mk_norm,cn_norm,price,frontal_area_m2
132188462,DE,IP-MQB37SZ_A0_0558-VSS-1,VOLKSWAGEN,SEAT,SEAT SA,,E9*2007/46*6394*40,5FP,CXDNFCX1,AD7CAD7GC0064BIML1C19AD17,CUPRA,CUPRA ATECA,M1,M1,1,1628.0,1762.0,,203.0,,,,petrol,M,1984.0,221.0,,e9 29 37,,1.96,,,F,2023,2023-12-06,9.0,,RL-DQ381_7A_17_020-WVW-1,,cupra,cupra ateca,40003.0,2.7
132188464,DE,IP-0000895-WBA-1,BMW,BMW AG,BAYERISCHE MOTOREN WERKE AG,,E1*2007/46*2017*09,G3K,11FZ,IAA500M0,BMW,318D,M1,M1,1,1735.0,1852.0,,135.0,,,,diesel,H,1995.0,110.0,,e24 32 37,,1.84,,,F,2023,2023-03-29,5.2,,RL-0100732-WBA-1,,bmw,318d,11500.0,2.6
132188465,DE,IP-BX72_2021_00007-WF0-1,FORD,FORD WERKE GMBH,FORD-WERKE GMBH,,E9*2007/46*3165*15,J2K,B7JB12X,5GTHTNA5RAX,FORD,PUMA,M1,M1,1,1369.0,1447.0,,129.0,,,,petrol,H,999.0,92.0,,e9 32 37,,2.0,,,F,2023,2023-12-05,5.7,715/2007*2018/1832AP,RL-B479_2019_00005-WF0-1,,ford,puma,23158.0,2.8
132188466,DE,IP-MLB42AZ_B0_0688-WAU-1,VOLKSWAGEN,AUDI AG,AUDI AG,,E1*2007/46*1550*39,FY,XDTPAQ1,QD7AD7CJ002RT51C204BIBEM1FLD1C,AUDI,Q5,M1G,M1G,1,1880.0,2104.0,,176.0,,,,diesel,H,1968.0,150.0,,e13 33 37,,1.86,,,F,2023,2023-03-20,6.7,,RL-DL382_7A_19_002-WAU-1,,audi,q5,43193.0,3.1
132188468,DE,IP-MQB37WZ_A0_0909-VSS-1,VOLKSWAGEN,SEAT,SEAT SA,,E9*2007/46*4008*19,KM,CXDGEAX0,FD6PFD6DD0014BI1BAA,CUPRA,FORMENTOR E-HYBRID,M1,M1,1,1680.0,1810.0,,29.0,,,,petrol/electric,P,1395.0,110.0,153.0,,,,,,F,2023,2023-12-29,1.3,,RL-DQ400E6F_19_001-WVW-1,57.0,cupra,formentor e hybrid,42454.0,2.5
132188470,DE,IP-13_2020_501-JMZ-1,MAZDA,MAZDA,MAZDA MOTOR CORPORATION,,E13*2007/46*2300*07,DR,1WB,JBW11,MAZDA,MAZDA MX-30,M1,M1,1,1720.0,1827.0,,0.0,,,,electric,E,,107.0,179.0,,,,,,F,2023,2023-01-17,,,RL-13_DR1-JMZ-1,200.0,mazda,mazda mx 30,19985.0,2.5
132188471,DE,IP-MLB51AS_A0_0756-WAU-1,VOLKSWAGEN,AUDI AG,AUDI AG,,E1*2007/46*1914*19,GE,SBL1IAQ1,QE1QE1G1Z01RT31B210GAAEM0,AUDI,Q8 SPORTBACK 50 E-TRON,M1,M1,1,2585.0,2763.0,,0.0,,,,electric,E,,250.0,217.0,,,,,,F,2023,2023-08-15,,,RL-EQ400_1P_22_001-WAU-1,455.0,audi,q8 sportback 50 e tron,89275.0,3.1
132188472,DE,IP-AP992002B00AT00-WP0-1,VOLKSWAGEN,PORSCHE,DR ING HCF PORSCHE AG,,E13*2007/46*0992*14,992,CA12,3412000,PORSCHE,911 CARRERA T,M1,M1,1,1580.0,1728.0,,240.0,,,,petrol,M,2981.0,283.0,,e1 29,,0.9,,,F,2023,2023-04-27,10.6,,RL-992002AT80ZZZ00-WP0-1,,porsche,911 carrera t,108136.0,2.8
132188474,DE,IP-MQB37AS_B7_0821-WAU-1,VOLKSWAGEN,AUDI AG,AUDI AG,,E1*2007/46*1900*31,F3,XDNNAQ1,QD7AD7GC006RT31C204BIBHA4EM1CB0,AUDI,Q3,M1,M1,1,1695.0,1835.0,,188.0,,,,petrol,M,1984.0,140.0,,e13 29 37,,2.01,,,F,2023,2023-07-17,8.3,,RL-DQ381_7A_17_020-WVW-1,,audi,q3,43820.0,2.5
132188475,DE,IP-ZKX____REDU576B-VR3-0,STELLANTIS,STELLANTIS AUTO,STELLANTIS AUTO SAS,,E2*2007/46*0639*25,U,H,ZKXZ-X0J000,OPEL,CORSA,M1,M1,1,1530.0,1611.0,,0.0,,,,electric,E,,100.0,160.0,,,,,,F,2023,2023-11-16,,,RL-___CMP_REDU5760-VR3-0,351.0,opel,corsa,8959.0,2.8
132188476,DE,IP-0165-JT1-1,SUBARU-SUZUKI-TOYOTA,TOYOTA MOTOR CORPORATION,TOYOTA MOTOR CORPORATION,,E6*2018/858*00060*01,AB7(JP),KGB70(H),KGB70L-AHMKKW(2B),TOYOTA,TOYOTA AYGO X,M1,M1,1,1025.0,1093.0,,109.0,,,,petrol,M,998.0,53.0,,,,,,,F,2023,2023-09-14,4.8,,RL-0060-JT1-1,,toyota,toyota aygo x,8636.0,2.5
132188477,DE,IP-0500783-NLH-1,HYUNDAI MOTOR EUROPE,HYUNDAI ASSAN,HYUNDAI ASSAN OTOMOTIV SANAYI VE TICARET AS,,E5*2007/46*0121*03,BC3,C5P71,D71DY3,HYUNDAI,BAYON,M1,M1,1,1220.0,1330.0,,119.0,,,,petrol,H,998.0,74.0,,e5 32 37,,1.86,,,F,2023,2023-10-31,5.2,,RL-050010-NLH-1,,hyundai,bayon,22990.0,2.5
132188478,DE,IP-0000664-WBA-1,BMW,BMW AG,BAYERISCHE MOTOREN WERKE AG,,E1*2007/46*1679*14,FMCA,41DL,IAW40000,MINI,COOPER S,M1,M1,1,1400.0,1504.0,,143.0,,,,petrol,M,1998.0,131.0,,e24 28 29,,2.12,,,F,2023,2023-10-13,6.3,,RL-0100491-WBA-1,,mini,cooper s,15575.0,2.7
132188481,DE,IP-JBA1N0PDW5A_002-VF1-1,RENAULT-NISSAN-MITSUBISHI,RENAULT,RENAULT SAS,,E2*2007/46*0684*21,RJB,HH2,N0BUAHJA5300,RENAULT,CAPTUR,M1,M1,1,1373.0,1470.0,,135.0,,,,petrol,H,1332.0,103.0,,e2 33 37,,2.11,,,F,2023,2023-08-15,6.0,6AP,RL-JBADW5B_300_000-VF1-1,,renault,captur,15051.0,2.0
132188483,DE,IP-0000730_U-WBA,BMW,BMW AG,BAYERISCHE MOTOREN WERKE AG,,E1*2018/858*00122*06,G4C,11AV,EAW507K0,BMW,420I,M1,M1,1,1695.0,1828.0,,160.0,,,,petrol,M,1998.0,135.0,,e24 29 37,,2.1,,,F,2023,2023-10-17,7.1,,RL-0001043-WBA,,bmw,420i,26628.0,2.1
132188484,DE,IP-13_2020_514-JMZ-1,MAZDA,MAZDA,MAZDA MOTOR CORPORATION,,E13*2007/46*2041*21,DM,6WH,6CW0CB,MAZDA,MAZDA CX-30,M1,M1,1,1512.0,1625.0,,128.0,,,,petrol,H,1998.0,137.0,,e13 37,,0.7,,,F,2023,2023-12-18,5.7,,RL-13_DM9-JMZ-1,,mazda,mazda cx 30,19863.0,2.4
132188485,DE,IP-0000662-WBA-1,BMW,BMW AG,BAYERISCHE MOTOREN WERKE AG,,E1*2007/46*1678*15,FML2,31DH,IAW40000,MINI,COOPER,M1,M1,1,1250.0,1349.0,,126.0,,,,petrol,M,1499.0,100.0,,e24 28 29,,2.12,,,F,2023,2023-12-27,5.5,,RL-0100489-WBA-1,,mini,cooper,15448.0,2.3
132188486,DE,IP-HNS____ATN83445-VF3-0,STELLANTIS,AUTOMOBILES PEUGEOT,AUTOMOBILES PEUGEOT,,E2*2007/46*0534*25,M,R,HNSU-C16H00,PEUGEOT,3008,M1,M1,1,1395.0,1542.0,,146.0,,,,petrol,M,1199.0,96.0,,e2 28 29,,2.1,,,F,2023,2023-08-29,6.4,,RL-___MP21ATN82050-VR3-0,,peugeot,3008,19475.0,2.7
132188488,DE,IP-0110-JT1-1,SUBARU-SUZUKI-TOYOTA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,,E6*2007/46*0437*04,"XPA1F(EU,M)",MXPH11(H),MXPH11L-CHXNBW(2E),TOYOTA,TOYOTA YARIS,M1,M1,1,1160.0,1282.0,,92.0,,,,petrol,H,1490.0,68.0,,e6 37,,0.8,,,F,2023,2023-12-11,4.0,,RL-0048-JT1-1,,toyota,toyota yaris,10838.0,2.3
132188490,DE,IP-2022_8405-W1K-1,MERCEDES-BENZ AG,MERCEDES-BENZ AG,MERCEDES-BENZ AG,,E1*2018/858*00214*01,R2ES,J204T0,CZAL055A,MERCEDES-BENZ,E 220 D,M1,M1,1,1985.0,2121.0,,134.0,,,,diesel,H,1993.0,145.0,,,,,,,F,2023,2023-12-14,5.1,EURO 6(AP),,,mercedes benz,e 220 d,36371.0,2.2
132188491,DE,IP-0000767-WBA-1,BMW,BMW AG,BAYERISCHE MOTOREN WERKE AG,,E1*2007/46*2126*07,G3C,11AU,IAA400K0,BMW,420D,M1,M1,1,1850.0,1941.0,,132.0,,,,diesel,H,1995.0,140.0,,e24 32 37,,1.7,,,F,2023,2023-07-07,5.0,,RL-0100529-WBA-1,,bmw,420d,26628.0,3.0
132188492,DE,IP-HNS____MB6E242A-VR3-0,STELLANTIS,STELLANTIS AUTO,STELLANTIS AUTO SAS,,E2*2007/46*0628*22,F,P,HNSL-F11E00,OPEL,ASTRA,M1,M1,1,1341.0,1443.0,,125.0,,,,petrol,M,1199.0,96.0,,e2 29 37,,2.18,,,F,2023,2023-02-27,5.5,,RL-___MP21MB6_202D-VR3-0,,opel,astra,9574.0,2.5
132188493,DE,IP-JFA1M6PJH3B_000-UU1-0,RENAULT-NISSAN-MITSUBISHI,DACIA,AUTOMOBILE DACIA SA,,E19*2007/46*0026*16,DJF,BES,M65UA4KM5200,DACIA,SANDERO,M1,M1,1,1147.0,1232.0,,119.0,,,,petrol,M,999.0,67.0,,e19 29 37,,1.88,,,F,2023,2023-04-06,5.3,6AP,RL-JFAJH3B_160_000-UU1-0,,dacia,sandero,8409.0,2.6
132188495,DE,IP-MLB65_Z_B0_0704-WAU-1,VOLKSWAGEN,AUDI AG,AUDI AG,,E1*2007/46*1751*25,F8,LDMGKQ2,QA8QA8D5030RT11C21S54BIBEM1D2,AUDI,A8,M1,M1,1,2095.0,2335.0,,196.0,,,,diesel,H,2967.0,210.0,,,,,,,F,2023,2023-01-16,7.5,,RL-AL552_8Q_18_022-WAU-1,,audi,a8,61393.0,2.2
132188496,DE,IP-07A1A1E024A_000-VF1-1,RENAULT-NISSAN-MITSUBISHI,RENAULT,RENAULT SAS,,E2*2007/46*0457*26,AH2,BV2,A10EA0K03000,RENAULT,TWINGO,M1,M1,1,1208.0,1279.0,,0.0,,,,electric,E,,60.0,152.0,,,,,,F,2023,2023-10-18,,AX,RL-07ARA0A_245_000-VF1-1,187.0,renault,twingo,7478.0,2.4
132188498,DE,IP-MQB27SZ_A0_0539-TMB-1,VOLKSWAGEN,SKODA,SKODA AUTO AS,,E8*2007/46*0349*17,NW,ABCDLAAX0,NFM6FM6AJ0214BISTNK4N1A0A,SKODA,KAMIQ,M1,M1,1,1227.0,1374.0,,123.0,,,,petrol,M,999.0,81.0,,,,,,,F,2023,2023-04-18,5.4,,,,skoda,kamiq,22394.0,2.6
132188500,DE,IP-MLB49_Z_B0_0694-WAU-1,VOLKSWAGEN,AUDI AG,AUDI AG,,E1*2001/116*0430*88,B8,A2DTPAQ1,QD7AD7CJ003RT081E19S54BIBEM1AD1,AUDI,A4 AVANT,M1,M1,1,1700.0,1855.0,,157.0,,,,diesel,H,1968.0,150.0,,e13 33 37,,2.03,,,F,2023,2023-03-07,6.0,,RL-DL382_7A_19_013-WAU-1,,audi,a4 avant,20949.0,2.3
132188501,DE,IP-MQB37WZ_A0_0862-VSS-1,VOLKSWAGEN,SEAT,SEAT SA,,E9*2007/46*4008*17,KM,CXDNFBX1,AD7CAD7GC0064BI1CAC,CUPRA,FORMENTOR,M1,M1,1,1626.0,1747.0,,192.0,,,,petrol,M,1984.0,228.0,,e9 29 37,,1.96,,,F,2023,2023-07-05,8.5,,RL-DQ381_7A_19_002-WVW-1,,cupra,formentor,42454.0,2.7
132188502,DE,IP-B479_2021_00004-WF0-1,FORD,FORD WERKE GMBH,FORD-WERKE GMBH,,E9*2007/46*3142*25,JHH,B7JB1JX,5CDHRNA5AAA,FORD,FIESTA,M1,M1,1,1233.0,1309.0,,114.0,,,,petrol,H,999.0,92.0,,e9 32 37,,2.2,,,F,2023,2023-09-21,5.0,715/2007*2018/1832AP,RL-B479_2019_00001-WF0-1,,ford,fiesta,9864.0,2.4
132188506,DE,IP-050530-NLH-1,HYUNDAI MOTOR EUROPE,HYUNDAI ASSAN,HYUNDAI ASSAN OTOMOTIV SANAYI VE TICARET AS,,E5*2007/46*0090*06,AC3,B4P11,M52A11,HYUNDAI,I10,M1,M1,1,994.0,1107.0,,117.0,,,,petrol,M,998.0,49.0,,e5 29,,1.03,,,F,2023,2023-02-17,5.2,,RL-050001-NLH-1,,hyundai,i10,8782.0,2.5
132188507,DE,IP-0001119-WBA,BMW,BMW AG,BAYERISCHE MOTOREN WERKE AG,,E1*2018/858*00153*04,U1X,21EF,EAW50000,BMW,X1 XDRIVE 25E,M1,M1,1,1930.0,2045.0,,18.0,,,,petrol/electric,P,1499.0,100.0,173.0,,,,,,F,2023,2023-11-23,0.8,,RL-0100976-WBA,83.0,bmw,x1 xdrive 25e,18271.0,2.4
132188508,DE,IP-JAA1M5PJH3A_001-VF1-1,RENAULT-NISSAN-MITSUBISHI,RENAULT,RENAULT SAS,,E2*2007/46*0676*21,RJA,BE2,MG5UA7HA5000,RENAULT,CLIO,M1,M1,1,1103.0,1218.0,,124.0,,,,petrol,M,999.0,49.0,,e9 29 37,,1.75,,,F,2023,2023-10-02,5.5,6AP,RL-JAAJH3A_160_000-VF1-1,,renault,clio,10529.0,3.2
132188509,DE,IP-MQB27SZ_A1_0549-VSS-1,VOLKSWAGEN,SEAT,SEAT SA,,E9*2007/46*3134*41,KJ,XDLAA,FD7SFD7CW0094BI4A1BAE,SEAT,ARONA,M1,M1,1,1235.0,1381.0,,139.0,,,,petrol,M,999.0,81.0,,e9 29 37,,1.9,,,F,2023,2023-12-18,6.1,,RL-DQ200_7F_17_012-WVW-1,,seat,arona,19660.0,2.6
132188510,DE,IP-MEB31AZ_A0_1902-TMB-1,VOLKSWAGEN,SKODA,SKODA AUTO AS,,E8*2007/46*0416*09,NY,ABX1EBL1GX1,D0AE1AE1G1Z01MR01AA,SKODA,ENYAQ RS,M1,M1,1,2253.0,2406.0,,0.0,,,,electric,E,,220.0,172.0,,,,,,F,2023,2023-01-20,,,,508.0,skoda,enyaq rs,48642.0,2.3
132188511,DE,IP-MQB37WZ_A0_0808-TMB-1,VOLKSWAGEN,SKODA,SKODA AUTO AS,,E8*2007/46*0355*14,NX,ACDTUAX1,SAD7AD7GC0054BIML6N1B2A,SKODA,OCTAVIA SCOUT,M1,M1,1,1621.0,1761.0,,152.0,,,,diesel,M,1968.0,147.0,,e8 29 37,,1.53,,,F,2023,2023-04-17,5.8,,,,skoda,octavia scout,15523.0,2.8
132188512,DE,IP-041231-TMA-1,HYUNDAI MOTOR EUROPE,HYUNDAI CZECH,HYUNDAI MOTOR MANUFACTURING CZECH SRO,,E4*2007/46*1522*04,OSE,F5E21,E11B11,HYUNDAI,KONA KAUAI,M1,M1,1,1610.0,1743.0,,0.0,,,,electric,E,,100.0,143.0,,,,,,F,2023,2023-12-15,,,RL-041231-TMA-1,305.0,hyundai,kona kauai,24352.0,2.2
132188513,DE,IP-0000741-WBA-1,BMW,BMW AG,BAYERISCHE MOTOREN WERKE AG,,E1*2007/46*2130*04,G3XE,41DU,0AW5000S,BMW,IX3,M1,M1,1,2255.0,2383.0,,0.0,,,,electric,E,,210.0,189.0,,,,,,F,2023,2023-01-23,,,RL-0100586-WBA-1,453.0,bmw,ix3,43051.0,2.7
132188516,DE,IP-MQB37AS_A0_0822-TMB-1,VOLKSWAGEN,SKODA,SKODA AUTO AS,,E8*2007/46*0249*27,NS,ACDTUAX1,NAD7AD7GC0104BI0GS5N1A8A,SKODA,KODIAQ,M1G,M1G,1,1767.0,1935.0,,168.0,,,,diesel,M,1968.0,147.0,,e8 37,,0.66,,,F,2023,2023-06-22,6.4,,,,skoda,kodiaq,31559.0,2.0
132188518,DE,IP-2020_6436-W1K-1,MERCEDES-BENZ AG,MERCEDES-BENZ AG,MERCEDES-BENZ AG,,E1*2018/858*00017*07,R2CS,H241T0,CZAA050A,MERCEDES-BENZ,C 180,M1,M1,1,1705.0,1839.0,,151.0,,,,petrol,H,1496.0,125.0,,,,,,,F,2023,2023-11-06,6.6,EURO 6(AP),,,mercedes benz,c 180,25281.0,2.2
132188519,DE,IP-03_312_0326-ZFA-1,STELLANTIS,STELLANTIS EUROPE,STELLANTIS EUROPE SPA,,E3*2007/46*0064*68,312,AYD1B,E25XN,FIAT,FIAT 500,M1,M1,1,1033.0,1091.0,,104.0,,,,petrol,H,999.0,52.0,,e3 33,,1.28,,,F,2023,2023-03-14,4.6,,RL-03_312_0110-ZFA-1,,fiat,fiat 500,11022.0,2.7
132188520,DE,IP-2022_8401-W1K-1,MERCEDES-BENZ AG,MERCEDES-BENZ AG,MERCEDES-BENZ AG,,E1*2018/858*00186*01,R2CGLC,8604T1,CZAM052A,MERCEDES-BENZ,GLC 220 D 4MATIC,M1,M1,1,2000.0,2186.0,,145.0,,,,diesel,H,1993.0,145.0,,,,,,,F,2023,2023-01-17,5.5,EURO 6(AP),,,mercedes benz,glc 220 d 4matic,29167.0,2.8
132188521,DE,IP-2023_6426-W1K-1,MERCEDES-BENZ AG,MERCEDES-BENZ AG,MERCEDES-BENZ AG,,E1*2018/858*00311*01,R2CLECA,L346T1,CZAB042A,MERCEDES-BENZ,CLE 300 4MATIC,M1,M1,1,1855.0,2010.0,,163.0,,,,petrol,H,1999.0,190.0,,,,,,,F,2023,2023-11-28,7.2,EURO 6(AP),,,mercedes benz,cle 300 4matic,24891.0,2.7
132188523,DE,IP-JDA1MFPTL4B_000-VF1-1,RENAULT-NISSAN-MITSUBISHI,RENAULT,RENAULT SAS,,E2*2001/116*0323*71,SRD,HE2,MF6UB350M000,DACIA,DUSTER,M1,M1,1,1321.0,1438.0,,141.0,,,,petrol,M,1332.0,96.0,,e9 29 37,,1.88,,,F,2023,2023-01-17,6.2,6AP,RL-JDCTL4D_260_000-VF1-1,,dacia,duster,11905.0,2.6
132188527,DE,IP-0000815-WBA-1,BMW,BMW AG,BAYERISCHE MOTOREN WERKE AG,,E1*2007/46*1906*07,G8C,BC61,IAW40000,BMW,840D XDRIVE,M1,M1,1,1990.0,2092.0,,175.0,,,,diesel,H,2993.0,250.0,,e5 32,,1.22,,,F,2023,2023-02-02,6.7,,RL-0100675-WBA-1,,bmw,840d xdrive,81885.0,2.5
132188528,DE,IP-MEB31AZ_A0_1913-TMB-1,VOLKSWAGEN,SKODA,SKODA AUTO AS,,E8*2007/46*0416*11,NY,ACEBJAL1FX2,O0PE1PE1MH002MN31AA,SKODA,ENYAQ 80,M1,M1,1,2154.0,2265.0,,0.0,,,,electric,E,,150.0,162.0,,,,,,F,2023,2023-08-24,,,,533.0,skoda,enyaq 80,48642.0,2.2
132188530,DE,IP-MLB58_Z_B0_0728-WAU-1,VOLKSWAGEN,AUDI AG,AUDI AG,,E1*2007/46*1801*39,F2,ADMGAQ1,QA8QA8D5023031C20S54BIBEM1H66FLD2,AUDI,A6 AVANT,M1,M1,1,1975.0,2157.0,,179.0,,,,diesel,H,2967.0,210.0,,,,,,,F,2023,2023-02-14,6.9,,RL-AL552_8Q_18_039-WAU-1,,audi,a6 avant,29832.0,2.4
132188532,DE,IP-0001047-WBA-1,BMW,BMW AG,BAYERISCHE MOTOREN WERKE AG,,E1*2018/858*00153*02,U1X,61EF,0AB50000,BMW,IX1 XDRIVE30,M1,M1,1,2085.0,2184.0,,0.0,,,,electric,E,,200.0,172.0,,,,,,F,2023,2023-06-19,,,RL-0100908-WBA-1,433.0,bmw,ix1 xdrive30,18271.0,2.5
132188535,DE,IP-MQB37SZ_A0_0554-TMB-1,VOLKSWAGEN,SKODA,SKODA AUTO AS,,E8*2007/46*0272*26,NU,ACDTTCX1,NAD7AD7GC0054BI16N4V1B8A,SKODA,KAROQ,M1,M1,1,1604.0,1773.0,,151.0,,,,diesel,M,1968.0,110.0,,e8 37,,0.65,,,F,2023,2023-02-20,5.8,,,,skoda,karoq,26905.0,2.9
132188537,DE,IP-MQB37SZ_B1_0553-VSS-1,VOLKSWAGEN,SEAT,SEAT SA,,E9*2007/46*6394*36,5FP,SXDTTAX0,FM6SFM62Q0284BIVL1C18BDA8F16,SEAT,SEAT ATECA,M1,M1,1,1497.0,1650.0,,134.0,,,,diesel,M,1968.0,110.0,,e9 29 37,,1.75,,,F,2023,2023-02-23,5.1,,RL-MQ350_6F_17_015-WVW-1,,seat,seat ateca,26483.0,2.7
132188539,DE,IP-0500769-TMA-1,HYUNDAI MOTOR EUROPE,HYUNDAI CZECH,HYUNDAI MOTOR MANUFACTURING CZECH SRO,,E5*2018/858*00001*06,NX4E,F5P74,A63E11,HYUNDAI,TUCSON IX35,M1,M1,1,1893.0,2083.0,,31.0,,,,petrol/electric,P,1598.0,132.0,177.0,,,,,,F,2023,2023-08-03,1.4,,RL-0500769-TMA-1,62.0,hyundai,tucson ix35,18266.0,2.1
132188541,DE,IP-MQB27ZZ_A1_0530-WAU-1,VOLKSWAGEN,AUDI AG,AUDI AG,,E1*2007/46*1892*30,GB,SDLAAF1,FM6FM6AJ019RT11B174BIAEM1AB0,AUDI,A1 SPORTBACK,M1,M1,1,1180.0,1311.0,,125.0,,,,petrol,M,999.0,81.0,,e13 29 37,,1.96,,,F,2023,2023-03-15,5.5,,RL-MQ200_6F_17_029-WVW-1,,audi,a1 sportback,13010.0,2.7
132188542,DE,IP-MQB48ZZ_A2_0845-TMB-1,VOLKSWAGEN,SKODA,SKODA AUTO AS,,E8*2007/46*0317*24,3T,AADNNAX01,NFD7FD7GC0064BISTN1B0A,SKODA,SUPERB,M1,M1,1,1565.0,1730.0,,159.0,,,,petrol,M,1984.0,140.0,,,,,,,F,2023,2023-09-12,7.0,,,,skoda,superb,21380.0,2.5
132188544,DE,IP-MQB27ZZ_A0_1000-TMB-1,VOLKSWAGEN,SKODA,SKODA AUTO AS,,E8*2018/858*00014*06,PJ,ABDSGAX0,NFM5FM5DF0104BI3N1A1A,SKODA,FABIA,M1,M1,1,1124.0,1217.0,,116.0,,,,petrol,M,999.0,48.0,,e8 29 37,,1.94,,,F,2023,2023-11-29,5.1,,,,skoda,fabia,10170.0,2.4
132188545,DE,IP-2023_4024-W1K,MERCEDES-BENZ AG,MERCEDES-BENZ AG,MERCEDES-BENZ AG,,E1*2007/46*1909*24,F2B,OJEUZ2,ZZAAA50A,MERCEDES-BENZ,EQA 250,M1,M1,1,2045.0,2166.0,,0.0,,,,electric,E,,140.0,148.0,,,,,,F,2023,2023-12-22,,AX,,515.0,mercedes benz,eqa 250,22097.0,2.8
132188547,DE,IP-0000035-WBS-1,BMW,BMW GMBH,BMW M GMBH,,E1*2018/858*00003*06,G234M,11GB,IAW5090V,BMW,M3 COMPETITION M XDRIVE,M1,M1,1,1940.0,2021.0,,232.0,,,,petrol,M,2993.0,375.0,,e24 29,,1.37,,,F,2023,2023-05-23,10.2,,RL-0100850-WBS-1,,bmw,m3 competition m xdrive,78697.0,2.9
132188548,DE,IP-2019_2404-WDB-1,MERCEDES-BENZ AG,MERCEDES-BENZ AG,MERCEDES-BENZ AG,,E1*2007/46*1909*17,F2B,OX1CT2,JZAA150A,MERCEDES-BENZ,GLB 200 D,M1,M1,1,1680.0,1805.0,,146.0,,,,diesel,M,1950.0,110.0,,e1 29,,1.0,,,F,2023,2023-03-01,5.5,EURO 6(AP),,,mercedes benz,glb 200 d,26833.0,2.9
132188549,DE,IP-MLB49_Z_A0_0717-WAU-1,VOLKSWAGEN,AUDI AG,AUDI AG,,E1*2001/116*0430*92,B8,L2DMSBF1,FD7FD7CK003RT011B17S54BIAEM2BB1,AUDI,A4 LIMOUSINE,M1,M1,1,1545.0,1649.0,,141.0,,,,petrol,H,1984.0,110.0,,e13 33 37,,2.25,,,F,2023,2023-09-04,6.2,,RL-DL382_7F_18_044-WAU-1,,audi,a4 limousine,20949.0,2.3
132188553,DE,IP-0931281-KMH-1,HYUNDAI MOTOR EUROPE,HYUNDAI,HYUNDAI MOTOR COMPANY,,E9*2018/858*11054*04,NE,F5E62,E11B11,HYUNDAI,IONIQ5,M1,M1,1,2010.0,2165.0,,0.0,,,,electric,E,,168.0,180.0,,,,,,F,2023,2023-09-22,,,RL-0931281-KMH-1,476.0,hyundai,ioniq5,24833.0,2.5
132188554,DE,IP-MQB37WZ_A0_0801-WAU-1,VOLKSWAGEN,AUDI AG,AUDI AG,,E1*2007/46*2060*26,GY,SDNNAQ1,QD7AD7GC003RT031B174BIAEM1MLN1B0B,AUDI,A3 SPORTBACK,M1,M1,1,1535.0,1700.0,,162.0,,,,petrol,M,1984.0,140.0,,e13 29 37,,1.92,,,F,2023,2023-07-06,7.1,,RL-DQ381_7A_19_002-WVW-1,,audi,a3 sportback,16869.0,2.7
132188555,DE,IP-C482_2021_00004-WF0-1,FORD,FORD WERKE GMBH,FORD-WERKE GMBH,,E13*2007/46*2188*13,DFK,BGDA1FX,566DANA51AS,FORD,KUGA,M1,M1,1,1844.0,1943.0,,23.0,,,,petrol/electric,P,2488.0,112.0,148.0,,,,,,F,2023,2023-08-23,1.0,715/2007*2018/1832AP,RL-C482_2020_00003-WF0-1,65.0,ford,kuga,20889.0,2.9
132188557,DE,IP-EA9YAII4BH0AT00-WP1,VOLKSWAGEN,PORSCHE,DR ING HCF PORSCHE AG,,E13*2007/46*0900*14,9YA,CL22,1510001,PORSCHE,CAYENNE E-HYBRID,M1G,M1G,1,2530.0,2667.0,,34.0,,,,petrol/electric,P,2995.0,224.0,288.0,,,,,,F,2023,2023-10-17,1.5,,RL-9YAII4AT80ZZZ02-WP1,73.0,porsche,cayenne e hybrid,71309.0,2.5
132188564,DE,IP-0000496-WBA-1,BMW,BMW AG,BAYERISCHE MOTOREN WERKE AG,,E1*2007/46*1750*15,G5K,31BN,IAA50700,BMW,520D,M1,M1,1,1855.0,2016.0,,138.0,,,,diesel,H,1995.0,140.0,,,,,,,F,2023,2023-10-27,5.3,,RL-0100155-WBA-1,,bmw,520d,23567.0,2.5
132188570,DE,IP-MQB37AS_B0_1024-WAU-1,VOLKSWAGEN,AUDI AG,AUDI AG,,E1*2007/46*1900*29,F3,SDTUAQ1,QD7AD7GC010RT61C204BIBHA5EM1CD0,AUDI,Q3 SPORTBACK,M1,M1,1,1735.0,1921.0,,175.0,,,,diesel,M,1968.0,147.0,,e13 29 37,,1.79,,,F,2023,2023-04-12,6.7,,RL-DQ381_7A_17_020-WVW-1,,audi,q3 sportback,27472.0,2.3
132188572,DE,IP-10A1MDE051A_000-VF1-1,RENAULT-NISSAN-MITSUBISHI,RENAULT,RENAULT SAS,,E2*2007/46*0251*27,AG0,V0Y,MCLEA0800000,RENAULT,ZOE,M1,M1,1,1577.0,1690.0,,0.0,,,,electric,E,,100.0,186.0,,,,,,F,2023,2023-12-22,,AX,RL-10ARA0A_226_000-VF1-1,350.0,renault,zoe,10817.0,2.2
