Mp,Cn,Fm,z (Wh/km),Electric range (km),m (kg),Battery capacity (kWh),Energy per km (Wh/km),Motor efficiency,Efficiency (km/kWh)
STELLANTIS,NUEVO E-BERLINGO ELECTRICO 50 KWH TALLA XL LIVE PA,E,199.0,278.0,1813.0,553.22,1990.0,0.9,0.5025125628140703
STELLANTIS,ASTRA 5P ELECTRIC GS 54KWH 156 CV (115KW),E,150.0,412.0,1736.0,618.0,1500.0,0.9,0.6666666666666666
STELLANTIS,NUEVO C4X ELECTRICO 100 KW FEEL,E,150.0,360.0,1659.0,540.0,1500.0,0.9,0.6666666666666666
STELLANTIS,NUEVO E-BERLINGO ELECTRICO 50 KWH TALLA M  LIVE PA,E,195.0,283.0,1739.0,551.85,1950.0,0.9,0.5128205128205128
STELLANTIS,MOKKA ELECTRIC ULTIMATE BEV 50KWH 136 CV (100KW),E,162.0,327.0,1598.0,529.74,1620.0,0.9,0.6172839506172839
STELLANTIS,208 5P ALLURE ELECTRICO 136 (100 KW),E,155.0,362.0,1530.0,561.1,1550.0,0.9,0.6451612903225806
STELLANTIS,COMBO LIFE ELECTRIC XL EDITION 100KW / 136 CV,E,199.0,278.0,1813.0,553.22,1990.0,0.9,0.5025125628140703
STELLANTIS,NUEVO Ã‹-JUMPY COMBI TALLA M 75 KWH,E,268.0,315.0,2140.0,844.2,2680.0,0.9,0.373134328358209
STELLANTIS,NUEVO E-BERLINGO ELECTRICO 50 KWH TALLA M FEEL,E,195.0,283.0,1739.0,551.85,1950.0,0.9,0.5128205128205128
STELLANTIS,NUEVO Ã‹-SPACETOURER TALLA M 75 KWH BUSINESS,E,266.0,317.0,2140.0,843.22,2660.0,0.9,0.37593984962406013
STELLANTIS,N208 5P ACTIVE ELECTRICO 156 (115 KW),E,140.0,410.0,1530.0,574.0,1400.0,0.9,0.7142857142857143
STELLANTIS,MOKKA-E ULTIMATE  BEV 50KWH 136 CV (100KW),E,162.0,328.0,1598.0,531.36,1620.0,0.9,0.6172839506172839
STELLANTIS,ASTRA 5P T ELECTRIC,E,150.0,412.0,1736.0,618.0,1500.0,0.9,0.6666666666666666
STELLANTIS,CORSA EDITION ELECTRIC 50KWH 136 CV (100KW),E,158.0,354.0,1544.0,559.32,1580.0,0.9,0.6329113924050633
STELLANTIS,NUEVO E-C4 ELECTRICO 100KW FEEL (SOLO STOCK),E,152.0,355.0,1636.0,539.6,1520.0,0.9,0.6578947368421053
STELLANTIS,E-EXPERT COMBI ELECTRICO 100KW BATERY 50 KWH STAN,E,252.0,220.0,1982.0,554.4,2520.0,0.9,0.3968253968253968
STELLANTIS,N2008 ALLURE ELECTRICO 156 (115 KW),E,154.0,402.0,1623.0,619.08,1540.0,0.9,0.6493506493506493
STELLANTIS,Ã‹-JUMPY COMBI TALLA M 75 KWH,E,268.0,315.0,2131.0,844.2,2680.0,0.9,0.373134328358209
STELLANTIS,Ã‹-SPACETOURER TALLA M 50 KWH BUSINESS,E,253.0,219.0,1982.0,554.07,2530.0,0.9,0.3952569169960474
STELLANTIS,VIVARO-E COMBI L BEV 330 100KW / 136 CV,E,269.0,314.0,2161.0,844.66,2690.0,0.9,0.37174721189591076
STELLANTIS,NUEVO Ã‹-JUMPY COMBI TALLA XL 75 KWH,E,268.0,315.0,2161.0,844.2,2680.0,0.9,0.373134328358209
STELLANTIS,NUEVO E-C4 ELECTRICO 115KW-54KWH SHINE,E,150.0,411.0,1636.0,616.5,1500.0,0.9,0.6666666666666666
STELLANTIS,VIVARO-E COMBI M BEV 330 100KW / 136 CV 2023,E,269.0,314.0,2131.0,844.66,2690.0,0.9,0.37174721189591076
STELLANTIS,E-EXPERT COMBI ELECTRICO 100KW BATERY 75 KWH LONG,E,269.0,315.0,2167.0,847.35,2690.0,0.9,0.37174721189591076
STELLANTIS,NUEVO Ã‹-JUMPY COMBI TALLA M 50 KWH,E,254.0,218.0,1982.0,553.72,2540.0,0.9,0.3937007874015748
STELLANTIS,MOKKA-E EDITION  BEV 50KWH 136 CV (100KW),E,159.0,335.0,1598.0,532.65,1590.0,0.9,0.6289308176100629
STELLANTIS,E-RIFTER ALLURE LONG 100 KW,E,202.0,275.0,1841.0,555.5,2020.0,0.9,0.49504950495049505
,IONIQ 6,E,,,2113.0,,,0.9,
STELLANTIS,NUEVO E-BERLINGO ELECTRICO 50 KWH TALLA XL SHINE (,E,209.0,266.0,1876.0,555.94,2090.0,0.9,0.4784688995215311
STELLANTIS,VIVARO-E COMBI L BEV 330 100KW / 136 CV 2023,E,265.0,318.0,2161.0,842.7,2650.0,0.9,0.37735849056603776
STELLANTIS,NUEVO E-C4 ELECTRICO 115 KW - 54KWH MAX,E,149.0,415.0,1636.0,618.35,1490.0,0.9,0.6711409395973155
,I-PACE,E,233.0,444.0,2244.0,1034.52,2330.0,0.9,0.4291845493562232
RENAULT-NISSAN-MITSUBISHI,LEAF 40KWH,E,171.0,270.0,1580.0,461.7,1710.0,0.9,0.5847953216374269
STELLANTIS,3,E,153.0,403.0,1625.0,616.59,1530.0,0.9,0.6535947712418301
STELLANTIS,3 CROSSBACK,E,161.0,330.0,1598.0,531.3,1610.0,0.9,0.6211180124223602
BMW,IX2 XDRIVE30,E,174.0,420.0,2095.0,730.8,1740.0,0.9,0.5747126436781609
,ABARTH 500E,E,187.0,244.0,1435.0,456.28,1870.0,0.9,0.5347593582887701
STELLANTIS,JUMPY I SP,E,270.0,313.0,2161.0,845.1,2700.0,0.9,0.37037037037037035
RENAULT-NISSAN-MITSUBISHI,NISSAN E-NV200,E,259.0,200.0,1694.0,518.0,2590.0,0.9,0.3861003861003861
