Mp,Cn,Fm,z (Wh/km),Electric range (km),m (kg),Battery capacity (kWh),Energy per km (Wh/km),Motor efficiency,Efficiency (km/kWh)
VOLKSWAGEN,Q4 45 E-TRON,E,177.0,495.0,2210.0,876.15,1770.0,0.9,0.5649717514124294
VOLKSWAGEN,Q4 SPORTBACK 50 E-TRON,E,178.0,495.0,2215.0,881.1,1780.0,0.9,0.5617977528089888
MERCEDES-BENZ AG,ECITAN TOURER/EQT,E,199.0,271.0,1874.0,539.29,1990.0,0.9,0.5025125628140703
,HONDA E,E,178.0,210.0,1595.0,373.8,1780.0,0.9,0.5617977528089888
MERCEDES-BENZ AG,EQB 250+,E,163.0,502.0,2115.0,818.26,1630.0,0.9,0.6134969325153374
,MODEL S,E,175.0,634.0,2170.0,1109.5,1750.0,0.9,0.5714285714285714
KG MOBILITY GREAT WALL MOTOR,KORANDO E-MOTION,E,193.0,347.0,1840.0,669.71,1930.0,0.9,0.5181347150259067
MERCEDES-BENZ AG,EQS 450 4MATIC,E,,,2805.0,,,0.9,
STELLANTIS,E-RIFTER,E,207.0,269.0,1874.0,556.83,2070.0,0.9,0.4830917874396135
HYUNDAI MOTOR EUROPE,GV60 GENESIS GV60,E,188.0,470.0,2170.0,883.6,1880.0,0.9,0.5319148936170213
,MODEL X,E,191.0,576.0,2464.0,1100.16,1910.0,0.9,0.5235602094240838
MERCEDES-BENZ AG,EQE 350 4MATIC,E,195.0,531.0,2580.0,1035.45,1950.0,0.9,0.5128205128205128
HYUNDAI MOTOR EUROPE,GV70 GENESIS GV70,E,195.0,455.0,2310.0,887.25,1950.0,0.9,0.5128205128205128
VOLKSWAGEN,E-TRON 55,E,246.0,394.0,2595.0,969.24,2460.0,0.9,0.4065040650406504
VOLKSWAGEN,Q8 50 E-TRON,E,225.0,436.0,2585.0,981.0,2250.0,0.9,0.4444444444444444
,NE,E,,,2150.0,,,0.9,
STELLANTIS,SPACETOURER,E,269.0,314.0,2167.0,844.66,2690.0,0.9,0.37174721189591076
MERCEDES-BENZ AG,EQB 250,E,179.0,432.0,2110.0,773.28,1790.0,0.9,0.5586592178770949
FORD,MUSTANG MACH-E,E,188.0,550.0,2257.0,1034.0,1880.0,0.9,0.5319148936170213
,JAGUAR I-PACE,E,226.0,458.0,2244.0,1035.08,2260.0,0.9,0.4424778761061947
VOLKSWAGEN,TAYCAN TURBO S,E,224.0,458.0,2370.0,1025.92,2240.0,0.9,0.44642857142857145
VOLKSWAGEN,ENYAQ 85,E,152.0,554.0,2137.0,842.08,1520.0,0.9,0.6578947368421053
MERCEDES-BENZ AG,EQV,E,286.0,348.0,2635.0,995.28,2860.0,0.9,0.34965034965034963
,BOXSTER,E,,,1705.0,,,0.9,
MERCEDES-BENZ AG,EVITO TOURER,E,280.0,356.0,2530.0,996.8,2800.0,0.9,0.35714285714285715
BMW,IX M60,E,227.0,547.0,2670.0,1241.69,2270.0,0.9,0.44052863436123346
VOLKSWAGEN,Q4 SPORTBACK 35 E-TRON,E,162.0,360.0,1970.0,583.2,1620.0,0.9,0.6172839506172839
VOLKSWAGEN,Q8 SPORTBACK 55 E-TRON,E,222.0,536.0,2585.0,1189.92,2220.0,0.9,0.45045045045045046
RENAULT-NISSAN-MITSUBISHI,NISSAN LEAF 40 KWH,E,167.0,278.0,1580.0,464.26,1670.0,0.9,0.5988023952095808
MERCEDES-BENZ AG,AMG EQE 43 4MATIC,E,210.0,494.0,2535.0,1037.4,2100.0,0.9,0.47619047619047616
RENAULT-NISSAN-MITSUBISHI,KANGOO E-TECH ELECTRIC,E,206.0,266.0,1870.0,547.96,2060.0,0.9,0.4854368932038835
STELLANTIS,E-C4 X,E,153.0,354.0,1659.0,541.62,1530.0,0.9,0.6535947712418301
STELLANTIS,E-BERLINGO,E,197.0,281.0,1739.0,553.57,1970.0,0.9,0.5076142131979695
VOLKSWAGEN,Q4 35 E-TRON,E,173.0,341.0,1965.0,589.93,1730.0,0.9,0.5780346820809249
STELLANTIS,E-DOBLO,E,197.0,280.0,1739.0,551.6,1970.0,0.9,0.5076142131979695
STELLANTIS,500,E,187.0,244.0,1435.0,456.28,1870.0,0.9,0.5347593582887701
RENAULT-NISSAN-MITSUBISHI,NISSAN LEAF 62 KWH,E,178.0,396.0,1756.0,704.88,1780.0,0.9,0.5617977528089888
STELLANTIS,VIVARO,E,267.0,316.0,2131.0,843.72,2670.0,0.9,0.37453183520599254
VOLKSWAGEN,TAYCAN 4,E,217.0,483.0,2320.0,1048.11,2170.0,0.9,0.4608294930875576
,,E,270.0,,2295.0,,2700.0,0.9,0.37037037037037035
,MAYBACH EQS 600 4MATIC,E,,,3027.0,,,0.9,
VOLKSWAGEN,E-TRON GT,E,202.0,489.0,2350.0,987.78,2020.0,0.9,0.49504950495049505
VOLKSWAGEN,E-TRON SPORTBACK 55,E,255.0,377.0,2595.0,961.35,2550.0,0.9,0.39215686274509803
,IX2 XDRIVE 20,E,,,1975.0,,,0.9,
,IX3 M60XDRIVE,E,,,2360.0,,,0.9,
